Date,Open,High,Low,Close,Adj Close,Volume
2012-09-21,21.039562,21.056396,20.753366,20.820707,19.296883,43508599
2012-09-24,20.761786,20.888046,20.559765,20.753366,19.234474,18727157
2012-09-25,20.757576,20.833332,20.138889,20.214645,18.735180,29036858
2012-09-26,20.164141,20.265152,19.932659,20.008417,18.544044,28980072
2012-09-27,20.079966,20.749159,20.079966,20.673401,19.160360,23152694
2012-09-28,20.648148,20.702862,20.298822,20.357744,18.867804,17556977
2012-10-01,20.441919,20.643938,20.231482,20.298822,18.813196,15568265
2012-10-02,20.446129,20.484007,20.180977,20.370371,18.879507,11781396
2012-10-03,20.484007,20.492424,20.269360,20.450336,18.953619,21079159
2012-10-04,20.917507,21.144781,20.753366,20.829124,19.304684,25680283
2012-10-05,20.980640,21.060606,20.433502,20.509258,19.008230,16958225
2012-10-08,20.340908,20.559765,19.983166,20.168350,18.692274,24718003
2012-10-09,20.159933,20.202021,19.410774,19.452862,18.029150,34466731
2012-10-10,19.528620,19.755892,19.436028,19.680136,18.239788,27346334
2012-10-11,19.890572,20.054714,19.739058,19.987373,18.524542,26069947
2012-10-12,20.042088,20.231482,19.995790,20.138889,18.664970,18049997
2012-10-15,20.105219,20.231482,19.465488,19.949495,18.489431,36000914
2012-10-16,20.058924,20.404039,19.886364,20.303030,18.817097,22164278
2012-10-17,20.395622,20.492424,20.117846,20.286196,18.801497,43263634
2012-10-18,20.382998,21.439394,20.357744,21.393099,19.827383,83018628
2012-10-19,21.338385,21.380470,20.862795,21.031145,19.491922,47050027
2012-10-22,21.014311,21.275253,20.963804,21.106901,19.562132,22625460
2012-10-23,20.917507,21.241583,20.707071,20.770203,19.250076,24657890
2012-10-24,20.816498,20.867002,20.336700,20.572392,19.066742,26714794
2012-10-25,20.711279,20.778620,20.328283,20.345118,18.856108,17602834
2012-10-26,20.353535,20.946970,20.286196,20.837542,19.312494,25827358
2012-10-31,20.824917,20.841751,20.248316,20.311447,18.824900,37708070
